Date,Year,Month,Month_Name,Guests_Thousands
2014-01-01,2014,1,Jan,10386.900000000001
2014-02-01,2014,2,Feb,1503.8
2014-03-01,2014,3,Mar,1101.8000000000002
2014-04-01,2014,4,Apr,2836.4
2014-05-01,2014,5,May,2795.2
2014-06-01,2014,6,Jun,2149.7
2015-01-01,2015,1,Jan,10337.0
2015-02-01,2015,2,Feb,1471.0
2015-03-01,2015,3,Mar,1102.1
2015-04-01,2015,4,Apr,2782.5
2015-05-01,2015,5,May,2803.0
2015-06-01,2015,6,Jun,2178.4
2016-01-01,2016,1,Jan,10306.359497290658
2016-02-01,2016,2,Feb,1447.8908255130632
2016-03-01,2016,3,Mar,1098.1114166675065
2016-04-01,2016,4,Apr,2730.6386666682515
2016-05-01,2016,5,May,2731.7714072070657
2016-06-01,2016,6,Jun,2297.947181234771
2017-01-01,2017,1,Jan,1102.271
2017-02-01,2017,2,Feb,1221.875
2017-03-01,2017,3,Mar,1541.714
2017-04-01,2017,4,Apr,2177.033
2017-05-01,2017,5,May,2254.4010000000003
2017-06-01,2017,6,Jun,2398.9230000000002
2017-07-01,2017,7,Jul,2613.9550000000004
2017-08-01,2017,8,Aug,2939.1040000000003
2017-09-01,2017,9,Sep,2626.6440000000002
2017-10-01,2017,10,Oct,2288.0370000000003
2017-11-01,2017,11,Nov,1428.3400000000001
2017-12-01,2017,12,Dec,1361.468
2018-01-01,2018,1,Jan,1175.192
2018-02-01,2018,2,Feb,1332.691
2018-03-01,2018,3,Mar,1781.1960000000001
2018-04-01,2018,4,Apr,2108.5299999999997
2018-05-01,2018,5,May,2430.238
2018-06-01,2018,6,Jun,2482.333
2018-07-01,2018,7,Jul,2688.691
2018-08-01,2018,8,Aug,3114.9719999999998
2018-09-01,2018,9,Sep,2744.67
2018-10-01,2018,10,Oct,2384.716
2018-11-01,2018,11,Nov,1563.689
2018-12-01,2018,12,Dec,1442.986
2019-01-01,2019,1,Jan,1335.186
2019-02-01,2019,2,Feb,1461.826
2019-03-01,2019,3,Mar,1964.905
2019-04-01,2019,4,Apr,2471.7690000000002
2019-05-01,2019,5,May,2792.456
2019-06-01,2019,6,Jun,2986.0209999999997
2019-07-01,2019,7,Jul,3230.8269999999998
2019-08-01,2019,8,Aug,3959.124
2019-09-01,2019,9,Sep,3176.17
2019-10-01,2019,10,Oct,2631.204
2019-11-01,2019,11,Nov,1834.698
2019-12-01,2019,12,Dec,1651.186
2020-01-01,2020,1,Jan,1490.691
2020-02-01,2020,2,Feb,1674.267
2020-03-01,2020,3,Mar,729.12
2020-04-01,2020,4,Apr,47.815
2020-05-01,2020,5,May,143.552
2020-06-01,2020,6,Jun,572.725
2020-07-01,2020,7,Jul,1237.321
2020-08-01,2020,8,Aug,2253.8289999999997
2020-09-01,2020,9,Sep,1528.012
2020-10-01,2020,10,Oct,1075.59
2020-11-01,2020,11,Nov,431.98
2020-12-01,2020,12,Dec,483.385
2021-01-01,2021,1,Jan,319.661
2021-02-01,2021,2,Feb,219.285
2021-03-01,2021,3,Mar,298.628
2021-04-01,2021,4,Apr,486.553
2021-05-01,2021,5,May,1055.196
2021-06-01,2021,6,Jun,1505.789
2021-07-01,2021,7,Jul,1893.004
2021-08-01,2021,8,Aug,2969.9739999999997
2021-09-01,2021,9,Sep,2265.219
2021-10-01,2021,10,Oct,2264.7019999999998
2021-11-01,2021,11,Nov,1527.17
2021-12-01,2021,12,Dec,1169.407
2022-01-01,2022,1,Jan,908.256
2022-02-01,2022,2,Feb,1313.727
2022-03-01,2022,3,Mar,1659.754
2022-04-01,2022,4,Apr,2494.497
2022-05-01,2022,5,May,2719.3979999999997
2022-06-01,2022,6,Jun,2915.997
2022-07-01,2022,7,Jul,3431.9379999999996
2022-08-01,2022,8,Aug,3959.9059999999995
2022-09-01,2022,9,Sep,3159.631
2022-10-01,2022,10,Oct,2783.362
2022-11-01,2022,11,Nov,1824.4050000000002
2022-12-01,2022,12,Dec,1690.0
2023-01-01,2023,1,Jan,1518.775
2023-02-01,2023,2,Feb,1733.37
2023-03-01,2023,3,Mar,2166.3250000000003
2023-04-01,2023,4,Apr,2939.0920000000006
2023-05-01,2023,5,May,3046.723
2023-06-01,2023,6,Jun,3089.901
2023-07-01,2023,7,Jul,3563.202
2023-08-01,2023,8,Aug,4103.229
2023-09-01,2023,9,Sep,3433.4860000000003
2023-10-01,2023,10,Oct,3031.537
2023-11-01,2023,11,Nov,1980.846
2023-12-01,2023,12,Dec,1875.36
